item_id,Brand Name,Generic Name,Category
ITM_6694,Adasuve,1 ACTUAT loxapine 10 MG/ACTUAT Dry Powder Inhaler,Other
ITM_6695,Nesina,alogliptin Oral Tablet,Other
ITM_6696,Nesina,alogliptin 25 MG Oral Tablet,Other
ITM_6697,Nesina,alogliptin 6.25 MG Oral Tablet,Other
ITM_6698,Nesina,alogliptin 12.5 MG Oral Tablet,Other
ITM_6699,Kazano,alogliptin 12.5 MG / metformin hydrochloride 1000 MG Oral Tablet,Other
ITM_6700,Kazano,alogliptin / metformin Oral Tablet,Other
ITM_6701,Kazano,alogliptin 12.5 MG / metformin hydrochloride 500 MG Oral Tablet,Other
ITM_6702,Oseni,alogliptin 12.5 MG / pioglitazone 30 MG Oral Tablet,Other
ITM_6703,Oseni,alogliptin 25 MG / pioglitazone 15 MG Oral Tablet,Other
ITM_6704,Oseni,alogliptin / pioglitazone Oral Tablet,Other
ITM_6705,Oseni,alogliptin 25 MG / pioglitazone 30 MG Oral Tablet,Other
ITM_6706,Oseni,alogliptin 25 MG / pioglitazone 45 MG Oral Tablet,Other
ITM_6707,Ravicti,glycerol phenylbutyrate 1100 MG/ML Oral Solution,Other
ITM_6708,Delzicol,mesalamine Delayed Release Oral Capsule,Other
ITM_6709,Delzicol,mesalamine 400 MG Delayed Release Oral Capsule,Other
ITM_6710,Debacterol,sulfonated phenol / sulfuric acid Medicated Pad,Other
ITM_6711,Debacterol,sulfonated phenol 500 MG/ML / sulfuric acid 300 MG/ML Medicated Pad,Other
ITM_6712,Pomalyst,pomalidomide Oral Capsule,Other
ITM_6713,Pomalyst,pomalidomide 1 MG Oral Capsule,Other
ITM_6714,Pomalyst,pomalidomide 2 MG Oral Capsule,Other
ITM_6715,Pomalyst,pomalidomide 3 MG Oral Capsule,Other
ITM_6716,Pomalyst,pomalidomide 4 MG Oral Capsule,Other
ITM_6717,Allerclear,loratadine / pseudoephedrine Extended Release Oral Tablet,Other
ITM_6718,Allerclear,12 HR loratadine 5 MG / pseudoephedrine sulfate 120 MG Extended Release Oral Tablet,Other
ITM_6719,Allerclear,24 HR loratadine 10 MG / pseudoephedrine sulfate 240 MG Extended Release Oral Tablet,Other
ITM_6720,Gablofen,20 ML baclofen 0.5 MG/ML Prefilled Syringe,Other
ITM_6721,Gablofen,20 ML baclofen 1 MG/ML Prefilled Syringe,Other
ITM_6722,Gablofen,20 ML baclofen 2 MG/ML Prefilled Syringe,Other
ITM_6723,Gel-One,hyaluronate Prefilled Syringe,Skin/Topical
ITM_6724,Gel-One,3 ML sodium hyaluronate 10 MG/ML Prefilled Syringe,Skin/Topical
ITM_6725,Versacloz,clozapine Oral Suspension,Other
ITM_6726,Versacloz,clozapine 50 MG/ML Oral Suspension,Other
ITM_6727,Pandel,hydrocortisone probutate 1 MG/ML Topical Cream,Skin/Topical
ITM_6728,Westcort,hydrocortisone valerate 0.002 MG/MG Topical Ointment,Skin/Topical
ITM_6729,Locoid,hydrocortisone butyrate 1 MG/ML Topical Lotion,Skin/Topical
ITM_6730,Locoid,hydrocortisone Topical Cream,Skin/Topical
ITM_6731,Locoid,hydrocortisone butyrate 1 MG/ML Topical Cream,Skin/Topical
ITM_6732,Osphena,ospemifene Oral Tablet,Other
ITM_6733,Osphena,ospemifene 60 MG Oral Tablet,Other
ITM_6734,Topicale,benzocaine 180 MG/ML Mucous Membrane Topical Solution,Skin/Topical
ITM_6735,Lantiseptic,lanolin 0.5 MG/MG Topical Ointment,Skin/Topical
ITM_6736,Suprax,cefixime Oral Capsule,Other
ITM_6737,Suprax,cefixime 400 MG Oral Capsule,Other
ITM_6738,Vecamyl,mecamylamine Oral Tablet,Other
ITM_6739,Vecamyl,mecamylamine hydrochloride 2.5 MG Oral Tablet,Other
ITM_6740,Delsym,12 HR dextromethorphan polistirex 6 MG/ML Extended Release Suspension,Other
ITM_6741,Lenzapatch,lidocaine hydrochloride 0.04 MG/MG / menthol 0.01 MG/MG Medicated Patch,Other
ITM_6742,Lenzagel,lidocaine / menthol Topical Gel,Skin/Topical
ITM_6743,Lenzagel,lidocaine hydrochloride 0.04 MG/MG / menthol 0.01 MG/MG Topical Gel,Skin/Topical
ITM_6744,Denorex Therapeutic Reformulated Mar 2013,coal tar / menthol Medicated Shampoo,Skin/Topical
ITM_6745,Denorex Therapeutic Reformulated Mar 2013,coal tar 18 MG/ML / menthol 15 MG/ML Medicated Shampoo,Skin/Topical
ITM_6746,Creon,amylase 180000 UNT / lipase 36000 UNT / protease 114000 UNT Delayed Release Oral Capsule,Other
ITM_6747,Zenatane,isotretinoin Oral Capsule,Other
ITM_6748,Zenatane,isotretinoin 10 MG Oral Capsule,Other
ITM_6749,Zenatane,isotretinoin 20 MG Oral Capsule,Other
ITM_6750,Zenatane,isotretinoin 40 MG Oral Capsule,Other
ITM_6751,Invokana,canagliflozin Oral Tablet,Other
ITM_6752,Invokana,canagliflozin 100 MG Oral Tablet,Other
ITM_6753,Invokana,canagliflozin 300 MG Oral Tablet,Other
ITM_6754,Tecfidera,dimethyl fumarate Delayed Release Oral Capsule,Other
ITM_6755,Tecfidera,dimethyl fumarate 120 MG Delayed Release Oral Capsule,Other
ITM_6756,Tecfidera,dimethyl fumarate 240 MG Delayed Release Oral Capsule,Other
ITM_6757,Viramune,24 HR nevirapine 100 MG Extended Release Oral Tablet,Other
ITM_6758,Tobi,tobramycin 28 MG Inhalation Powder,Other
ITM_6759,Karbinal,carbinoxamine Extended Release Suspension,Other
ITM_6760,Karbinal,12 HR carbinoxamine maleate 0.8 MG/ML Extended Release Suspension,Other
ITM_6761,Prolensa,bromfenac Ophthalmic Solution,Other
ITM_6762,Prolensa,bromfenac 0.7 MG/ML Ophthalmic Solution,Other
ITM_6763,Diclegis,doxylamine / pyridoxine Delayed Release Oral Tablet,Other
ITM_6764,Diclegis,doxylamine succinate 10 MG / pyridoxine hydrochloride 10 MG Delayed Release Oral Tablet,Other
ITM_6765,Jevtana,1.5 ML cabazitaxel 40 MG/ML Injection,Other
ITM_6766,Topicort,desoximetasone Topical Spray,Skin/Topical
ITM_6767,Topicort,desoximetasone 2.5 MG/ML Topical Spray,Skin/Topical
ITM_6768,Simbrinza,brimonidine / brinzolamide Ophthalmic Suspension,Other
ITM_6769,Simbrinza,brimonidine tartrate 2 MG/ML / brinzolamide 10 MG/ML Ophthalmic Suspension,Other
ITM_6770,Procysbi,cysteamine Delayed Release Oral Capsule,Other
ITM_6771,Procysbi,cysteamine 25 MG Delayed Release Oral Capsule,Other
ITM_6772,Procysbi,cysteamine 75 MG Delayed Release Oral Capsule,Other
ITM_6773,AneCream,lidocaine 50 MG/ML Rectal Cream,Skin/Topical
ITM_6774,AneCream,lidocaine 40 MG/ML Topical Cream,Skin/Topical
ITM_6775,LMX,lidocaine 40 MG/ML Topical Cream,Skin/Topical
ITM_6776,LMX,lidocaine Rectal Cream,Skin/Topical
ITM_6777,LMX,lidocaine 50 MG/ML Rectal Cream,Skin/Topical
ITM_6778,Lidocream,lidocaine 40 MG/ML Topical Cream,Skin/Topical
ITM_6779,Recticare,lidocaine 50 MG/ML Rectal Cream,Skin/Topical
ITM_6780,Medi-Derm with Lidocaine,capsaicin 0.35 MG/ML / lidocaine 20 MG/ML / menthol 50 MG/ML / methyl salicylate 200 MG/ML Topical Cream,Skin/Topical
ITM_6781,Scot-tussin Diabetic CF,dextromethorphan Oral Solution,Other
ITM_6782,Scot-tussin Diabetic CF,dextromethorphan hydrobromide 2 MG/ML Oral Solution,Other
ITM_6783,Doryx,doxycycline hyclate 200 MG Delayed Release Oral Tablet,Other
ITM_6784,ReliOn Glucose,cholecalciferol / glucose Oral Solution,Other
ITM_6785,ReliOn Glucose,cholecalciferol 6.67 UNT/ML / glucose 250 MG/ML Oral Solution,Other
ITM_6786,Nymalize,nimodipine Oral Solution,Other
